emoji	keywords
💽	computer, disk, minidisk, optical, ஆப்டிகல், கணினி, கம்ப்யூட்டர், டிஸ்க், மினி, வட்டு
💾	computer, disk, floppy, ஃபிளாப்பி, ஃப்ளாப்பி, கணினி, கம்ப்யூட்டர், சேமிப்பு, டிஸ்க், பிளாப்பி
💿️	blu, cd, computer, disk, dvd, optical, ray, ஆப்டிகல், சிடி, டிவிடி, டிஸ்க், ப்ளூ, ரே, வட்டு
📀	blu, cd, computer, disk, dvd, optical, ray, ஆப்டிகல், கம்ப்யூட்டர், சிடி, டிவிடி, டிஸ்க், பொருள், ப்ளூ, ரே, வட்டு
📁	file, folder, ஃபைல், ஃபோல்டர், ஆவணம், காகிதம், கோப்பகம், கோப்பு, பைல், பொருள்
📂	file, folder, open, ஃபைல், ஃபோல்டர், ஓப்பன், திறந்த, திறந்து, பைல், பொருள்
📃	curl, document, page, paper, ஆவணம், கீழே, சுருட்டிய, சுருண்ட, சுருள், பக்கச், பக்கம், பொருள்
📄	document, facing, page, paper, up, ஆவணம், கடிதம், காகிதம், தாள், திறந்த, நேர், பேப்பர்
📅	calendar, date, காலண்டர், காலேண்டர், தினக், தினசரி, நாட்காட்டி, நாள்காட்டி, பொருள்
📆	calendar, off, tear, காலண்டர், காலேண்டர், கிழிக்கும், கிழித்தல், தினசரி, தேதி, தேதியைக், நாட்காட்டி, நாள்காட்டி, பொருள்
📇	card, index, old, rolodex, school, அட்டவணை, அட்டை, இன்டெக்ஸ், எண், கார்டு, பேப்பர், பொருள், ரோலிங், வரிசை
📈	chart, data, graph, growth, increasing, right, trend, up, upward, ஊக்கம், ஏற்றம், சார்ட், செல்லுதல், டிரெண்ட், தரவு, நோக்கி, பங்கு, மேல், வரைபடம், வளர்ச்சி
📉	chart, data, decreasing, down, downward, graph, negative, trend, டிரெண்ட், தரவு, தாழ்வு, பங்கு, போக்கு, வரைபடம், வீழ்ச்சி, வீழ்தல்
📊	bar, chart, data, graph, கிராஃப், கிராப், சார்ட், பட்டை, பார், வரைபடம்
📋️	clipboard, do, list, note, notes, அட்டை, கிளிப், குறிப்பு, செயல், பட்டியல், பரீட்சை, பொருள், போர்டு
📌	collage, pin, pushpin, ஊசி, குத்து, குறிப்பு, கொல்லாஜ், பின், புஷ்
📍	location, map, pin, pushpin, round, இடம், இருப்பிடம், குண்டூசி, குறி, பின், புஷ்பின், வட்ட, வரைபடக்
📎	paperclip, கிளிப், ஜெம், பெப்பர், பேப்பர்
📏	angle, edge, math, ruler, straight, straightedge, அடிஸ்கேல், அளவீடு, அளவு, அளவுகோல், கணிதம், கோடு, கோணம், பொருள், ரூலர், ஸ்கேல்
📐	angle, math, rule, ruler, set, slide, triangle, triangular, அளவுகோல், கோணம், செட், முக்கோணமானி, முக்கோணம், ஸ்கொயர்
📑	bookmark, mark, marker, tab, tabs, குறித்தல், டேப்ஸ், புக்மார்க், புத்தகக்குறி, புத்தகத்தில், பொருள், மார்க்கர்
📒	ledger, notebook, டயரி, நோட்டு, நோட்டுப்புத்தகம், புத்தகம், லெட்ஜெர்
📓	notebook, கல்வி, நோட்டு, நோட்டுப்புத்தகம், நோட்புக், படிப்பு, புக், புத்தகம், பொருள்
📔	book, cover, decorated, decorative, education, notebook, school, writing, அட்டை, அழகான, எழுத்து, கவர், நோட்டு, நோட்புக், பள்ளி, புத்தகம், பொருள், போடப்பட்ட, வகுப்பு, வேலைப்பாடான
📕	book, closed, education, கல்லூரி, நாவல், பள்ளி, புத்தகம், பொருள், மூடிய, வாசிப்பு
📖	book, education, fantasy, knowledge, library, novel, novels, open, reading, அறிவு, கல்லூரி, கல்வி, திறந்த, நாவல், படிப்பு, பள்ளி, புக், புத்தகம், பொருள், வாசிப்பு
📗	book, education, fantasy, green, library, reading, கல்லூரி, கல்வி, நாவல், நூலகம், பச்சை, பள்ளி, புக், புத்தகம், பொருள், லைப்ரரி, வாசிப்பு
📘	blue, book, education, fantasy, library, reading, கல்வி, நீலப், நூலகம், படிப்பு, பள்ளி, புத்தகம், பொருள், லைப்ரரி, வாசிப்பு
📙	book, education, fantasy, library, orange, reading, ஆரஞ்சு, கல்வி, நூலகம், படிப்பு, புத்தகம், பொருள், லைப்ரரி, வாசிப்பு
📚️	book, books, education, fantasy, knowledge, library, novel, novels, reading, school, study, அறிவு, கல்லூரி, கல்வி, நூலகம், படிப்பு, பள்ளி, புத்தகங்கள், புத்தகம், லைப்ரரி, வாசிப்பு
📜	paper, scroll, எழுத்து, ஓலை, கடிதம், சுருட்டு, சுருள், தகவல், தொடர்பு, பேப்பரை, பொருள், ஸ்க்ரோல்
